id	hanzi	hsk	unit	pinyin	translations0	translations1	translations2	translations3	custom_translation	subunit	course	literal_translation
1	爱	1	3	ài	to love	affection	to be fond of	to like	f	1	hsk	
2	八	1	4	bā	eight	8			f	3	hsk	
3	爸爸	1	3	bà ba	father	CL:個|个	位[wèi]		t	3	hsk	1
4	杯子	1	9	bēi zi	cup	glass	CL:個|个	支	f	3	hsk	2
5	北京	1	9	Běi jīng	Beijing	capital of People's Republic of China	Peking	PRC government	f	1	hsk	8
6	本	1	14	běn	counter for books	origin	source	this	t	2	hsk	
7	不客气	1	17	bù kè qi	you're welcome	impolite	rude	blunt	f	3	hsk	
8	不	1	1	bù	not	not	no		t	2	hsk	
9	菜	1	13	cài	dish	vegetables	vegetable	cuisine	t	1	hsk	
10	茶	1	2	chá	tea	tea plant	CL:杯	壺|壶[hú]	f	2	hsk	
11	吃	1	2	chī	to eat	to consume	to eat at (a cafeteria etc)	to eradicate	f	1	hsk	
12	出租车	1	12	chū zū chē	taxi	(Taiwan) rental car			f	3	hsk	14
13	打电话	1	19	dǎ diàn huà	to make a telephone call				f	1	hsk	
14	大	1	9	dà	big	huge	large	major	f	2	hsk	
15	的	1	1	de	of	~'s (possessive particle)	(used after an attribute)	(used to form a nominal expression)	f	2	hsk	
16	点	1	7	diǎn	o'ckock	dot	drop	speck	t	1	hsk	
17	电脑	1	9	diàn nǎo	computer	CL:臺|台[tái]			f	5	hsk	21
18	电视	1	9	diàn shì	television	TV	CL:臺|台	個|个[gè]	f	5	hsk	23
19	电影	1	9	diàn yǐng	movie	film	CL:部	片	f	5	hsk	25
20	东西	1	5	dōng xi	thing	stuff	person	CL:個|个	f	1	hsk	29
21	都	1	5	dōu	all	both	entirely	(used for emphasis) even	f	1	hsk	
22	读	1	14	dú	to read	to study	reading of word (i.e. pronunciation)	similar to 拼音[pīn yīn]	f	2	hsk	
23	对不起	1	21	duì bu qǐ	sorry	to let down	I'm sorry	excuse me	t	1	hsk	
24	多	1	15	duō	many	much	a lot of	numerous	f	4	hsk	
25	多少	1	4	duō shao	how much	how many	which (number)	as much as	f	2	hsk	32
26	儿子	1	3	ér zi	son				f	3	hsk	
27	二	1	4	èr	two	2	stupid (Beijing dialect)		f	3	hsk	
28	饭馆	1	13	fàn guǎn	restaurant	CL:家[jiā]			f	1	hsk	
29	飞机	1	12	fēi jī	airplane	CL:架[jià]			f	3	hsk	42
30	分钟	1	7	fēn zhōng	minute				f	2	hsk	44
31	高兴	1	17	gāo xìng	happy	glad	willing (to do sth)	in a cheerful mood	f	1	hsk	49
32	个	1	3	gè	object marker				t	1	hsk	
33	工作	1	21	gōng zuò	to work	(of a machine) to operate	job	work	f	2	hsk	56
34	狗	1	9	gǒu	dog	CL:隻|只	條|条[tiáo]		f	2	hsk	
35	汉语	1	14	Hàn yǔ	Chinese language	CL:門|门[mén]			f	1	hsk	59
36	好	1	15	hǎo	good	well	proper	good to	f	3	hsk	
37	喝	1	2	hē	to drink	My goodness!			f	2	hsk	
38	和	1	2	hé	and	together with	with	sum	f	1	hsk	
39	很	1	5	hěn	very	quite	very	awfully	t	3	hsk	
40	后面	1	22	hòu mian	rear	back	behind	later	f	1	hsk	63
41	回	1	9	huí	to return	to curve	to revolve		f	1	hsk	
42	会	1	14	huì	can	be possible	be able to	will	f	1	hsk	
43	火车站	1	12	huǒ chē zhàn	train station				f	2	hsk	75
44	几	1	3	jǐ	how much	how many	several	a few	f	2	hsk	
45	家	1	3	jiā	home	family	classifier for families or businesses	refers to the philosophical schools of pre-Han China	f	2	hsk	
46	叫	1	1	jiào	to be called	to call	to order	to ask	f	3	hsk	
47	今天	1	6	jīn tiān	today	at the present	now		f	1	hsk	76
48	九	1	4	jiǔ	nine	9			f	3	hsk	
49	开	1	12	kāi	to drive	to start	to turn on	to boil	t	1	hsk	
50	看	1	19	kàn	to see	to look at	to read	to watch	f	1	hsk	
51	看见	1	22	kàn jiàn	to see	to catch sight of			f	3	hsk	80
52	块	1	4	kuài	piece	chunk	piece	classifier for pieces of cloth	t	1	hsk	
53	来	1	15	lái	to come	to arrive	to come round	ever since	f	2	hsk	
54	老师	1	15	lǎo shī	teacher	CL:個|个	位[wèi]		f	2	hsk	
55	了	1	7	le	past particle	(completed action marker)			t	2	hsk	
56	冷	1	16	lěng	cold				f	1	hsk	
57	里	1	9	lǐ	inside	500 meters (modern)	home	hometown	t	4	hsk	
58	零	1	5	líng	zero	nought	zero sign	fractional	f	2	hsk	
59	六	1	4	liù	six	6			f	2	hsk	
60	妈妈	1	3	mā ma	mama	mommy	mother	CL:個|个	f	1	hsk	83
61	吗	1	1	ma	(question tag)				f	2	hsk	
62	买	1	5	mǎi	to buy	to purchase			f	1	hsk	
63	猫	1	9	māo	cat	CL:隻|只[zhī]			f	2	hsk	
64	没	1	15	méi	without	have not	not		t	4	hsk	
65	没关系	1	21	méi guān xi	it doesn't matter				f	2	hsk	
66	米饭	1	2	mǐ fàn	cooked rice				t	1	hsk	100
67	明天	1	6	míng tiān	tomorrow				f	1	hsk	103
68	名字	1	1	míng zi	name	CL:個|个[gè]			t	3	hsk	104
69	哪	1	5	nǎ	which	which			t	1	hsk	
70	那	1	4	nà	that	those	then (in that case)	commonly pr.  before a classifier	f	2	hsk	
