id	unit	characters	pinyin	meaning	subunit	course
1	1	我 是 你 的 朋友	wǒ shì nǐ de péngyǒu	I am your friend.	2	hsk
2	1	你 是 我 的 朋友	nǐ shì wǒ de péngyǒu	You are my friend.	2	hsk
3	89	千年雪莲	qiānnián xuělián	thousand year snow lotus	1	wuxia
4	1	我 不 是 他 的 朋友	wǒ bù shì tā de péngyǒu	I am not his friend.	2	hsk
5	1	他 不 是 我 的 朋友	tā bùshì wǒ de péngyǒu	He is not my friend.	2	hsk
7	1	你   不   是   他   的   朋友	nǐ bù shì tā de péngyǒu	You are not his friend.	2	hsk
10	1	你 叫 什么 名	nǐ jiào shénme míngzì	what is your name	3	hsk
11	1	他 不 叫 李伟	Tā bù jiào lǐ wěi	his name is not Li Wei	3	hsk
12	1	你 是 谁	Nǐ shì shéi	who are you	3	hsk
13	1	她 叫 什么 名字	tā jiào shénme míngzì	what's her name	3	hsk
14	2	我 吃 苹果	wǒ chī píng guǒ 	I eat apples	1	hsk
17	1	你好	nǐhǎo	hello	1	hsk
18	1	你好 ， 我 是 李伟	nǐhǎo, wǒ shì lǐwěi 	hello, I am Li wei	1	hsk
19	1	李伟 再见	Lǐwěi zàijiàn	goodbye Li Wei	1	hsk
20	1	他 叫 李伟 吗	tā jiào lǐwěi ma	is his name Li Wei	3	hsk
21	15	我 在 学校 考试 没 准备 好	wǒ zài xuéxiào kǎoshì méi zhǔnbèi hǎo	I did not prepare well for the exam at school	4	hsk
22	9	这个 房间 里 有 一 张 桌子 ， 一 张 椅子 ， 一 台 电脑 ， 一 台 电视 和 一些 杯子	zhège fángjiān lǐ yǒu yī zhāng zhuōzi, yī zhāng yǐzi, yī tái diànnǎo, yī tái diànshì hé yīxiē bēizi	There is a table, a chair, a computer, a TV, and some cups in this room	3	hsk
24	19	我 生病 了 ， 得 去 看 医生	Wǒ shēngbìng le, děi qù kàn yīshēng	I'm sick, I have to go see a doctor	1	hsk
25	18	他 穿着 一 件 红色 的 衣服	tā chuānzhe yī jiàn hóngsè de yīfu	he is wearing a red shirt	1	hsk
26	21	我 还有 五 分钟 就要 去 上班 了	wǒ hái yǒu wǔ fēnzhōng jiù yào qù shàngbān le	I still have five minutes before I have to go to work	1	hsk
27	12	我 会 坐 飞机 去 北京	wǒ huì zuò fēijī qù běijīng	I will take a plane to Beijing.	3	hsk
28	5	我去 商店 找 便宜 的 东西 买	wǒ qù shāngdiàn zhǎo piányí de dōngxī mǎi	I go to the store to look for cheap things to buy	3	hsk
29	9	这个 电影 真的 很 好看	zhège diànyǐng zhēn de hěn hǎokàn	This movie is really good to watch.	4	hsk
30	13	我们 都 喜欢 吃 鸡蛋 和 牛奶	wǒmen dōu xǐhuān chī jīdàn hé niúnǎi	We all like to eat eggs and milk	2	hsk
31	13	这个 饭馆 的 菜 比 那个 饭馆 的 菜 贵	zhège fànguǎn de cài bǐ nàge fànguǎn de cài guì	The dishes in this restaurant are more expensive than the dishes in that restaurant	1	hsk
33	13	这个 饭馆 的 菜 最 好吃	zhège fànguǎn de cài zuì hào chī	the dishes in this restaurant are the most delicious	1	hsk
36	18	我 在 商店 买 了 件 新 衣服	wǒ zài shāngdiàn mǎile jiàn xīn yīfú	I bought a new piece of clothing at the store	2	hsk
37	5	你 想 买 哪个 水果	nǐ xiǎng mǎi nǎge shuǐguǒ	which fruit do you want to buy	1	hsk
38	3	我 的 弟弟 想 长 高	wǒ de dìdì xiǎng zhǎng gāo	my younger brother wants to grow taller	4	hsk
39	36	他 表示 会 来 参加 我 的 生日	tā biǎoshì huì lái cānjiā wǒ de shēngrì	he said he would come to my birthday	2	hsk
40	37	我 不知 道 怎么 解决 这个 问题 ， 你 有 什么 好 的 办法 吗	wǒ bù zhīdào zěnme jiějué zhège wèntí, nǐ yǒu shénme hǎo de bànfǎ ma	I don't know how to solve this problem, do you have any good ideas	3	hsk
41	33	他 的 考试 成绩 是 班 里 最好 的	tā de kǎoshì chéngjī shì bān lǐ zuì hǎo de.	his test scores are the best in the class.	1	hsk
42	37	你 能 帮忙 我 拿 这个 包 吗	nǐ néng bāngmáng wǒ ná zhège bāo ma	Can you help me take this bag	1	hsk
43	28	我 经过 那个 公园 去 上班	wǒ jīngguò nàge gōngyuán qù shàngbān	I pass by that park on my way to work	2	hsk
44	39	每年 春天 和 秋天 ， 天气 会 有 很 大 的 变化	měi nián chūntiān hé qiūtiān, tiānqì huì yǒu hěn dà de biànhuà	every spring and autumn, there are significant changes in weather	1	hsk
45	28	我们 的 办公室 在 二 层	wǒmen de bàngōngshì zài èr céng	our office is on the second floor	2	hsk
