unit_id	unit_name	hsk	course	visible	unit_order
1	intro	2	hsk	1	1
2	food	2	hsk	1	2
3	family	2	hsk	1	3
4	money	2	hsk	1	4
5	store	2	hsk	1	5
6	date	2	hsk	1	6
7	time	2	hsk	1	7
9	home	2	hsk	1	9
12	transportation	2	hsk	1	12
13	food II	2	hsk	1	13
14	reading	2	hsk	1	14
15	school	2	hsk	1	15
16	weather	2	hsk	1	16
17	communication	2	hsk	1	17
18	clothing	2	hsk	1	18
19	doctor	2	hsk	1	19
21	work	2	hsk	1	21
22	directions	2	hsk	1	22
23	activities	2	hsk	1	23
24	family II	3	hsk	1	24
25	food III	3	hsk	1	25
26	home II	3	hsk	1	26
27	nature	3	hsk	1	27
28	work II	3	hsk	1	28
29	places	3	hsk	1	29
30	health II	3	hsk	1	32
31	writing	3	hsk	1	31
32	clothes II	3	hsk	1	30
33	school II	3	hsk	1	33
34	exercise	3	hsk	1	34
35	animals	3	hsk	1	35
36	celebrations	3	hsk	1	39
37	assistence	3	hsk	1	37
38	possetions	3	hsk	1	38
39	seasons	3	hsk	1	36
40	activities	3	hsk	1	40
41	banking	3	hsk	1	41
42	people	3	hsk	1	42
43	feelings II	3	hsk	1	43
44	food IV	3	hsk	1	44
47	travel	4	hsk	1	47
48	food V	4	hsk	1	48
49	school III	4	hsk	1	49
50	nature II	4	hsk	1	50
51	work II	4	hsk	1	51
52	transportation III	4	hsk	1	52
53	home III	4	hsk	1	53
54	health III	4	hsk	1	54
55	shopping	4	hsk	1	55
56	family III	4	hsk	1	56
57	reading	4	hsk	1	57
58	government	4	hsk	1	58
59	sports	4	hsk	1	59
60	time III	4	hsk	1	60
61	events	4	hsk	1	61
62	looks	4	hsk	1	62
63	relationships	4	hsk	1	63
66	tv/entertainment	4	hsk	1	66
70	Communication	4	hsk	1	70
71	epithets	4	hsk	1	71
72	technology	4	hsk	1	72
73	police	4	hsk	1	73
78	food VI	4	hsk	1	78
79	rlues	4	hsk	1	79
80	wheather	4	hsk	1	80
82	nationality	4	hsk	1	82
83	quality	4	hsk	1	83
84	feelings	4	hsk	1	84
87	intro		wuxia	1	1
88	insults		wuxia	0	13
89	medicine		wuxia	1	3
90	cultivation levels		wuxia	1	4
91	places	4	hsk	1	91
92	sleep	4	hsk	1	92
93	plans	4	hsk	1	93
94	acting	4	hsk	1	94
95	school IV	4	hsk	1	95
96	weapons		wuxia	1	2
97	ect		wuxia	0	15
98	phrases		wuxia	1	8
99	colors		wuxia	1	10
100	gems		wuxia	0	12
101	animals		wuxia	1	7
102	sects		wuxia	1	6
103	clans		wuxia	1	9
